DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
04/03/2012;10:20:01;329;7053.39;7058.13;7049.47;7060.33
04/03/2012;10:30:01;271;7058.44;7045.78;7045.78;7058.75
04/03/2012;10:40:01;291;7045.59;7048.15;7043.91;7050
04/03/2012;10:50:01;321;7048.2;7046.86;7042.17;7050.04
04/03/2012;11:00:01;248;7046.81;7049.13;7046.66;7053.29
04/03/2012;11:10:01;309;7049.33;7041.17;7035.8;7052.49
04/03/2012;11:20:01;353;7041.22;7029.87;7029.87;7042.35
04/03/2012;11:30:01;328;7027.76;7033.92;7027.49;7037.39
04/03/2012;11:40:01;290;7034.3;7030.64;7028.77;7039.07
04/03/2012;11:50:01;302;7030.74;7026.9;7026.05;7032.92
04/03/2012;12:00:01;368;7026.94;7039.56;7026.88;7044.05
04/03/2012;12:10:01;282;7039.52;7038.67;7035.61;7042.61
04/03/2012;12:20:01;322;7038.69;7039.03;7032.76;7044.46
04/03/2012;12:30:01;361;7038.79;7028.39;7023.75;7041.25
04/03/2012;12:40:01;312;7028.36;7036.68;7028.36;7040.09
04/03/2012;12:50:01;311;7036.49;7039.69;7033.71;7041.53
04/03/2012;13:00:01;315;7039.48;7046.49;7035.53;7050.98
04/03/2012;13:10:01;356;7046.46;7050.12;7045.24;7053.79
04/03/2012;13:20:01;332;7050.47;7049.12;7048.83;7052.01
04/03/2012;13:30:01;362;7050.64;7050.58;7044.75;7055.71
04/03/2012;13:40:01;383;7050.59;7037.37;7032.7;7050.73
04/03/2012;13:50:01;372;7037.41;7038.28;7031.1;7044.84
04/03/2012;14:00:01;342;7038.19;7046.05;7028.21;7047.88
04/03/2012;14:10:01;323;7045.85;7020.84;7020.15;7046.85
04/03/2012;14:20:01;369;7021;7020.24;7005.03;7025.12
04/03/2012;14:30:01;383;7020.3;7027.44;7019.86;7034.16
04/03/2012;14:40:01;313;7027.53;7040.29;7026.84;7047.16
04/03/2012;14:50:01;349;7039.97;7042.31;7039.96;7049.01
04/03/2012;15:00:01;386;7042.15;7031.46;7031.07;7042.34
04/03/2012;15:10:01;443;7031.16;7010.6;7009.73;7031.36
04/03/2012;15:20:01;468;7010.58;6991.42;6991.42;7013.59
04/03/2012;15:30:01;176;6991.37;6982.28;6981.21;6996.29
04/04/2012;07:00:01;401;6940.61;6917.42;6916.94;6944.4
04/04/2012;07:10:01;515;6917.03;6914.78;6905.21;6921.06
04/04/2012;07:20:01;514;6912.83;6902.06;6902.06;6919.19
04/04/2012;07:30:01;537;6902.21;6892.51;6881.59;6902.48
04/04/2012;07:40:01;480;6892.42;6892.39;6887.71;6896.49
04/04/2012;07:50:01;488;6892.21;6892.39;6890.79;6900.04
04/04/2012;08:00:01;477;6892.35;6896.57;6880.24;6897.62
04/04/2012;08:10:01;456;6896.74;6902.46;6890.34;6908.65
04/04/2012;08:20:01;420;6902.45;6901.99;6900.59;6910.63
04/04/2012;08:30:01;421;6902.03;6905.49;6893.08;6906.65
04/04/2012;08:40:01;442;6905.8;6884.59;6880.24;6907.8
04/04/2012;08:50:01;473;6885.12;6858.93;6855.03;6886.87
04/04/2012;09:00:01;469;6858.98;6865.56;6855.9;6870.74
04/04/2012;09:10:01;451;6865.78;6854.74;6851.52;6865.78
04/04/2012;09:20:01;446;6854.94;6868.62;6854.94;6875.24
04/04/2012;09:30:01;440;6868.54;6857;6856.78;6871.33
04/04/2012;09:40:01;400;6856.98;6865.46;6855.98;6867.23
04/04/2012;09:50:01;364;6865.08;6864.47;6858.27;6866.57
04/04/2012;10:00:01;441;6864.45;6857.54;6851.05;6864.45
04/04/2012;10:10:01;393;6857.25;6850.73;6850.44;6861.86
04/04/2012;10:20:01;427;6850.66;6862.38;6849.84;6867.43
04/04/2012;10:30:01;350;6862.28;6864.94;6854.75;6867.5
04/04/2012;10:40:01;338;6865.05;6866.1;6860.09;6872.93
04/04/2012;10:50:01;368;6866.06;6856.83;6853.79;6872.36
04/04/2012;11:00:01;372;6855.58;6850.47;6841.8;6856.3
04/04/2012;11:10:01;349;6850.42;6847.92;6842.52;6851.56
04/04/2012;11:20:01;346;6848.02;6851.36;6847.27;6857.5
04/04/2012;11:30:01;340;6851.32;6855.18;6850.67;6856.91
04/04/2012;11:40:01;324;6854.9;6859.46;6854.02;6863.22
04/04/2012;11:50:01;338;6859.07;6854.5;6852.41;6863.39
04/04/2012;12:00:01;370;6854.9;6860.42;6850.78;6860.53
04/04/2012;12:10:01;391;6860.51;6860.11;6855.44;6864.07
04/04/2012;12:20:01;361;6860.07;6851.58;6846.03;6860.55
04/04/2012;12:30:01;403;6851.55;6833.22;6828.05;6851.67
04/04/2012;12:40:01;437;6833.3;6835.35;6822.33;6844.28
04/04/2012;12:50:01;385;6835.28;6831.31;6828.19;6836.8
04/04/2012;13:00:01;410;6831.25;6830.75;6827.25;6833.55
04/04/2012;13:10:01;398;6831.15;6829.01;6826.69;6836.8
04/04/2012;13:20:01;381;6828.86;6830.3;6828.58;6838.77
04/04/2012;13:30:01;333;6830.74;6834.76;6816.41;6836.27
04/04/2012;13:40:01;396;6834.61;6836.76;6832.24;6845.71
04/04/2012;13:50:01;399;6837.03;6843.4;6835.24;6846.92
04/04/2012;14:00:01;190;6843.23;6830.4;6825.9;6843.55
04/04/2012;14:10:01;306;6828.51;6810.96;6807.06;6829.62
04/04/2012;14:20:01;407;6811.04;6801.36;6794.1;6816.34
04/04/2012;14:30:01;360;6801.38;6809.74;6793.25;6809.74
04/04/2012;14:40:01;444;6809.81;6793.36;6786.47;6810.1
04/04/2012;14:50:01;413;6793.81;6782.08;6773.14;6793.81
04/04/2012;15:00:01;399;6781.51;6792.23;6775.47;6792.72
04/04/2012;15:10:01;472;6792.33;6785.39;6778.99;6800.76
04/04/2012;15:20:01;550;6785.41;6780.1;6775.44;6786.65
04/04/2012;15:30:01;138;6780.08;6784.06;6772.95;6784.06
04/05/2012;07:00:01;383;6817.85;6819.68;6812.13;6825.19
04/05/2012;07:10:01;482;6819.98;6809.99;6808;6824.64
04/05/2012;07:20:01;476;6809.74;6814.44;6804.1;6816.35
